Colonne 1,Âge,Profession,À quelle fréquence laissez-vous des avis en ligne sur les produits ou services que vous utilisez ?,Dans quelle mesure les avis en ligne influencent-ils vos décisions d'achat ?  ,Pensez-vous que les entreprises répondent de manière appropriée aux avis en ligne ?,Les avis positifs et négatifs influencent-ils de manière égale votre perception d'une entreprise ?,À quel point faites-vous confiance aux avis en ligne pour refléter fidèlement la qualité d'un produit ou d'un service ?,Quelle est votre expérience avec le retour d'information des entreprises suite à vos avis en ligne ?,Connaissez-vous le concept d'analyse des sentiments appliquée aux avis en ligne ?,Pensez-vous que l'analyse des sentiments peut aider les entreprises à mieux comprendre et répondre aux avis des clients ?,Quelles améliorations espérez-vous de la part des entreprises utilisant l'analyse des sentiments pour analyser les avis en ligne ?,Comment évalueriez-vous votre satisfaction globale quant à la manière dont les entreprises gèrent actuellement les avis en ligne ?,"Préférez-vous que les entreprises répondent publiquement aux avis ou en privé (par exemple, par email) ?",Avez-vous déjà changé d'avis sur une entreprise après qu'elle ait répondu à un avis en ligne (positivement ou négativement) ?
10/10/2024 20:14:12,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Confiant,Neutre,Non,Neutre,Meilleure compréhension des besoins des clients,Neutre,Publiquement,Non
10/10/2024 20:17:26,20-29 ans,Étudiant(e),Rarement,Très influent,"Oui, souvent","Oui, de manière égale",Très confiant,Satisfait,Non,"Oui, un peu",Meilleure personnalisation des réponses,Satisfait,Publiquement,"Oui, positivement"
10/10/2024 20:18:45,20-29 ans,Business Analyst ,Parfois,Influent,Parfois,Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, un peu","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
10/10/2024 20:27:17,20-29 ans,Pilote,Parfois,Moyennement influent,Parfois,Les avis positifs sont plus influents,Moyennement confiant,Satisfait,Oui,"Oui, beaucoup",Meilleure compréhension des besoins des clients,Neutre,En privé,"Oui, négativement"
10/10/2024 20:28:50,20-29 ans,Étudiant(e),Toujours,Très influent,Parfois,"Oui, de manière égale",Confiant,Insatisfait,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
10/10/2024 20:29:57,20-29 ans,Étudiant(e),Parfois,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Satisfait,Oui,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,"Oui, positivement"
10/10/2024 20:35:25,20-29 ans,Étudiant(e),Rarement,Très influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Non,"Oui, un peu","Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Satisfait,Publiquement,Non
10/10/2024 20:38:04,30-39 ans,Ingénieur(e) en IA,Parfois,Moyennement influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, un peu",Temps de réponse plus rapide,Neutre,Pas de préférence,"Oui, négativement"
10/10/2024 20:41:52,20-29 ans,Étudiant(e),Rarement,Moyennement influent,"Oui, souvent","Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Amélioration des produits/services",Neutre,Publiquement,Non
10/10/2024 20:44:35,20-29 ans,Étudiant(e),Parfois,Très influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients",Neutre,Pas de préférence,Non
10/10/2024 20:46:07,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,"Oui, de manière égale",Très confiant,Neutre,Non,"Oui, beaucoup",Temps de réponse plus rapide,Insatisfait,Publiquement,"Oui, positivement"
10/10/2024 20:50:13,20-29 ans,Responsable d’achat,Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Pas de préférence,Non
10/10/2024 20:56:49,20-29 ans,Étudiant(e),Rarement,Très influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Oui,"Oui, un peu","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
10/10/2024 21:09:36,20-29 ans,Étudiant(e),Souvent,Moyennement influent,"Oui, souvent",Les avis positifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, beaucoup","Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Très satisfait,Publiquement,Non
10/10/2024 21:10:34,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Neutre,Publiquement,Non
10/10/2024 21:19:18,20-29 ans,Étudiant(e),Jamais,Moyennement influent,Rarement,Les avis positifs sont plus influents,Moyennement confiant,Neutre,Non,"Oui, beaucoup",,,,
10/10/2024 21:21:27,Moins de 20 ans,Étudiant(e),Souvent,Peu influent,Rarement,Les avis négatifs sont plus influents,Moyennement confiant,Insatisfait,Oui,"Oui, un peu",Meilleure personnalisation des réponses,Neutre,Publiquement,Non
